track_name,track_artist,track_popularity,playlist_genre,track_year
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Dance Pop,"Tak
Closer (feat. Halsey),The Chainsmokers,85,pop,2016
Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,pop,2014
Clarity,Zedd,74,pop,2012
Solo (feat. Demi Lovato),Clean Bandit,80,pop,2018
Scared to Be Lonely,Martin Garrix,81,pop,2017
Friends (with BloodPop),Justin Bieber,76,pop,2017
RITMO (Bad Boys For Life),The Black Eyed Peas,96,pop,2019
Promises (with Sam Smith),Calvin Harris,84,pop,2018
Turn Me On (feat. Vula),Riton,86,pop,2019
Light,San Holo,68,pop,2017
2U,David Guetta,66,pop,2017
Something Just Like This,The Chainsmokers,83,pop,2017
One Kiss (with Dua Lipa),Calvin Harris,85,pop,2018
Heroes (we could be),Alesso,73,pop,2015
It Aint Me (with Selena Gomez),Kygo,69,pop,2017
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,pop,2012
Let Me Love You,DJ Snake,81,pop,2016
Roses,The Chainsmokers,73,pop,2015
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,61,pop,2012
Latch,Disclosure,19,pop,2013
Flames,David Guetta,57,pop,2018
Sorry,Justin Bieber,81,pop,2015
This Is What You Came For,Calvin Harris,79,pop,2016
Wake Me Up,Avicii,84,pop,2013
In My Mind,Dynoro,84,pop,2018
Titanium (feat. Sia),David Guetta,66,pop,2011
Where Are U Now,Skrillex,8,pop,2015
Firework,Katy Perry,64,pop,2010
Mi Gente (feat. Beyonce),J Balvin,61,pop,2017
Don't You Worry Child - Radio Edit,Swedish House Mafia,27,pop,2012
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,74,pop,2016
Anything Could Happen,Ellie Goulding,57,pop,2012
Poker Face,Lady Gaga,69,pop,2008
How Deep Is Your Love,Calvin Harris,77,pop,2015
In Your Eyes (feat. Alida),Robin Schulz,74,pop,2020
Wish You Well (with Sigala),Sigala,5,pop,2019
With You - LoKii Remix,Kaskade,57,pop,2019
Dive,Hot Shade,68,pop,2019
No Goodbye,Paul Kalkbrenner,65,pop,2019
Work,MOTi,58,pop,2019
Instagram,Dimitri Vegas & Like Mike,81,pop,2019
Better Off Without You (feat. Shift K3Y),Becky Hill,68,pop,2020
Butterfly,Molella,43,pop,2019
All The Love You Got,MOTi,57,pop,2019
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58,pop,2019
Love Is Not Enough,GATTUSO,58,pop,2019
Lose Control,MEDUZA,91,pop,2019
I Wanna Dance,Jonas Blue,67,pop,2019
After The Landslide - Club Remix,Matt Simons,42,pop,2019
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,70,pop,2019
Pon de Replay,Ed Marquis,64,pop,2017
So Close,NOTD,79,pop,2018
Look Into My Eyes,Brando,48,pop,2020
Not in Control,Glaceo,53,pop,2019
BLUE,Tiesto,75,pop,2019
Don't Waste My Time,Kharfi,46,pop,2019
Beat Of My Heart,Lost Frequencies,67,pop,2019
Don't Start Now - Kungs Remix,Dua Lipa,65,pop,2019
Drunken Truth,Steve Void,56,pop,2019
Jacques,Jax Jones,42,pop,2019
Stay (Don't Go Away) [feat. Raye],David Guetta,74,pop,2019
Solid Gold,PNAU,65,pop,2019
One Life,Mike Perry,64,pop,2019
All Bout The Money,FAULHABER,51,pop,2019
Never Letting Go,Audien,63,pop,2018
Used To Love (with Dean Lewis),Martin Garrix,83,pop,2019
Giulia,Prince Paris,55,pop,2019
What Do I Do? - Benny Benassi Remix,Georgia Ku,39,pop,2019
Dreams Of You (feat. Rae Morris),Icarus,48,pop,2019
I Will Let You Down (feat. KLARA),Madison Mars,59,pop,2019
Carillon (with Achille Lauro),Nahaze,64,pop,2019
La Vie - Gabry Ponte Mix,DJ Ross,42,pop,2019
Lullaby,R3HAB,70,pop,2018
Say It,Phantoms,57,pop,2019
All This Time,Deorro,21,pop,2019
Acordeo,Tiesto,63,pop,2019
My Friend,Yves V,54,pop,2019
On & On,Alok,79,pop,2019
Juliet & Romeo,Martin Solveig,72,pop,2019
All Around The World (La La La),R3HAB,80,pop,2019
Are You Lonely (feat. ISAK),Steve Aoki,47,pop,2019
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,19,pop,2019
Close Your Eyes,Felix Jaehn,79,pop,2019
Buzzing (with Nevve),Audien,59,pop,2019
Never Be Alone (feat. Aloe Blacc),David Guetta,68,pop,2019
Roses - Imanbek Remix,SAINt JHN,72,pop,2019
Insane,Ofenbach,66,pop,2019
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,59,pop,2020
Only Want You - Sam Feldt Remix,Rita Ora,64,pop,2019
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,9,pop,2019
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,41,pop,2019
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,69,pop,2019
Not Ok - Frank Walker Remix,Kygo,66,pop,2019
Heaven (feat. Veronica),Dzeko,68,pop,2019
Sixteen - Don Diablo Remix,Ellie Goulding,66,pop,2019
Dont Give Up On Me Now (with Julie Bergan),R3HAB,63,pop,2019
Brave,Don Diablo,68,pop,2019
Carry On - Nicky Romero Remix,Kygo,67,pop,2019
Magnets (feat. Sophie Simmons),Sam Feldt,62,pop,2019
Don't Give Up On Me,Andy Grammer,9,pop,2019
Found Love (feat. Lovespeake),MOTi,59,pop,2019
These Are The Times (feat. JRM),Martin Garrix,71,pop,2019
Wherever You Go,Jonas Blue,21,pop,2018
Happy Now,Kygo,81,pop,2018
Roots,Valerie Broussard,69,pop,2019
Talk - Alle Farben Remix,Khalid,56,pop,2019
All The Lies - Toby Romeo Remix / Radio Edit,Alok,56,pop,2019
High Hopes - Don Diablo Remix,Panic! At The Disco,60,pop,2019
Summer Air (feat. Trevor Guthrie),Hardwell,40,pop,2019
